architecture,scheme,beta,anchor,factor,checkpoint_role,layerwise_cosine,whole_gradient_cosine,layerwise_norm_delta,whole_gradient_norm_delta,residual_passed,state,result_directory
conv2,baseline,200.0,100,2,reconstructed_initialization,0.9843964357962667,0.9998488602124485,0.08044941198763214,0.0005073218234442841,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta200
conv2,baseline,200.0,100,2,best_validation,0.9966849693569214,0.9985219823644138,0.026914401799390888,0.005152677758090925,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta200
conv2,baseline,300.0,100,3,reconstructed_initialization,0.9733545459898693,0.9997051431685117,0.09074819844232217,0.000846762835410587,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta300
conv2,baseline,300.0,100,3,best_validation,0.9936336897378975,0.9971431795684566,0.03856161224668144,0.008064551286926385,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta300
conv2,baseline,500.0,100,5,reconstructed_initialization,0.95727100297097,0.9991079488233793,0.10271057044057166,0.0027335132094529024,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta500
conv2,baseline,500.0,100,5,best_validation,0.9902307998931069,0.9956118990732546,0.04491008996403837,0.009639722588080601,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta500
conv2,baseline,750.0,100,7.5,reconstructed_initialization,0.8996477790434496,0.9974269758254805,0.13624479180421356,0.007801954151113552,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta750
conv2,baseline,750.0,100,7.5,best_validation,0.9868941077025188,0.994150114503781,0.043638433889292644,0.011182609458683584,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta750
conv2,baseline,1000.0,100,10,reconstructed_initialization,0.8329702448371428,0.9941774584883935,0.13800896689477557,0.01701750656046021,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta1000
conv2,baseline,1000.0,100,10,best_validation,0.98415527286729,0.9929429932536108,0.04213717887289049,0.016407521598344906,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta1000
conv2,baseline,2000.0,100,20,reconstructed_initialization,0.7071213467195258,0.9597056440025219,0.235166484701505,0.09961006699135813,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta2000
conv2,baseline,2000.0,100,20,best_validation,0.9748658207781666,0.9887948972303088,0.06254234342985351,0.031454846062784994,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta2000
conv2,baseline,3000.0,100,30,reconstructed_initialization,0.6534877607793727,0.9011211866924858,0.3182950788778422,0.23253622014455472,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta3000
conv2,baseline,3000.0,100,30,best_validation,0.967199155000624,0.985112761408289,0.07740232498131355,0.038938707476811926,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta3000
conv2,baseline,5000.0,100,50,reconstructed_initialization,0.5493063668482809,0.7847766047093733,0.5292634954360097,0.518205091956556,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv2_baseline_beta5000
