architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms
conv2,ours,0,H1,positive_minus_matched_zero,7225344,0.001671244928708002,1.5208654249206652e-05,-1.3398373342060382e-07,4.4602741448738954e-06,36,1.4903357072368348e-05,1.4226283604480333e-05,1.2168248837058028e-05,1.8589993446038677e-05,3.075023965687788e-06,5.762787102413228e-05
conv2,ours,0,H1,zero_nudge_drift,7225344,3.8210589614564225e-10,7.272146263782744e-09,5.855277872260298e-10,2.4096207061919118e-09,36,7.126170255938261e-09,6.875826420273154e-09,5.447158582240464e-09,8.739057945840708e-09,1.4703266454215903e-09,0.03242124047478767
conv2,ours,1,H2,centered_halfspan,3612672,1.8293971834199176,0.0007116062216308218,-2.1151617666544694e-06,0.00011384954112614968,36,0.0006971408799451969,0.0006659616461182024,0.0005738362352375112,0.0008605610356501613,0.0001447765069956852,0.0026963852986043326
conv2,ours,1,H2,negative_minus_free,3612672,1.8340490601719455,0.0007125103999965345,2.0205229591903846e-06,0.00011382624571950151,36,0.00069762981773018,0.000667082869195658,0.0005735870915209783,0.0008607409368012097,0.00014691236169044,0.002699813990810424
conv2,ours,1,H2,negative_minus_matched_zero,3612672,1.8340491508780987,0.0007125104176157678,2.0198708231126787e-06,0.00011382623193930772,36,0.0006976298399377346,0.0006670832189876151,0.0005735872105458804,0.000860740765489645,0.00014691234111538135,0.002699814046212446
conv2,ours,1,H2,positive_minus_free,3612672,1.8352057021400536,0.0007127350367190705,-2.2098005741185543e-06,0.00011387288200749445,36,0.0006983674730948615,0.0006655011094719636,0.0005748644904854656,0.0008620398128877671,0.00014440694316916432,0.0027006598956474514
conv2,ours,1,H2,positive_minus_matched_zero,3612672,1.8352056076829713,0.0007127350183770196,-2.210452710196261e-06,0.00011387289571549739,36,0.0006983674499081488,0.0006655007617414931,0.000574864374217959,0.000862039984386105,0.00014440696539081725,0.0027006598375103434
conv2,ours,1,H2,zero_nudge_drift,3612672,3.272455735247811e-10,9.5174942662189e-09,6.521360777062417e-10,1.8737149554504606e-09,36,9.272138953275823e-09,8.91957317770735e-09,6.781491722528371e-09,1.1717974167024651e-08,2.1775799686255347e-09,0.04243162322782928
conv2,ours,2,Output,centered_halfspan,11520,802.3577482988148,0.2639111784206634,-9.332270798516646e-05,0.15630247619236887,36,0.25897604956586284,0.25183221014519935,0.2106678872969261,0.3155559770492116,0.051519364037541995,1.0
conv2,ours,2,Output,negative_minus_free,11520,802.3561901510745,0.26391092216788414,9.162153736749194e-05,0.1563022175316548,36,0.2589753287613214,0.2518296264669987,0.21066057178991737,0.31554582107145546,0.05152174064519196,1.0
